City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Kapaa,US,79.12,light rain,22.0752,-159.319,"KAUAI BEACH HOUSE HOSTEL, LLC"
7,Bethel,US,81.16,clear sky,41.3712,-73.414,Days Inn by Wyndham Bethel - Danbury
9,Saint-Donat-De-Montcalm,CA,70.84,scattered clouds,46.3187,-74.2219,"Le Fleuron, Motels & Suites"
10,Puerto Penasco,MX,87.91,overcast clouds,31.3167,-113.5333,Peñasco Del Sol Hotel and Conference Center
17,Galesong,ID,73.42,scattered clouds,-5.3166,119.3661,Wisata Pantai Bintang Galesong
20,Hilo,US,72.25,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
23,Guarapuava,BR,72.27,clear sky,-25.3953,-51.4581,Hotel Rocha's
24,San Andres,CO,81.07,overcast clouds,12.5847,-81.7006,Hotel Casablanca
25,Rikitea,PF,71.83,broken clouds,-23.1203,-134.9692,People ThankYou
26,Palmer,US,80.78,few clouds,42.1584,-72.3287,The Trainmaster's Inn
27,Puerto Ayora,EC,75.54,overcast clouds,-0.7393,-90.3518,CASA DEL LAGO LODGING HOUSE
28,San Lawrenz,MT,83.61,clear sky,36.0553,14.204,Saint Patrick's Hotel Gozo
31,Vaini,TO,75.49,light rain,-21.2,-175.2,Green Lodge Holiday Homes
36,Tshikapa,CD,84.92,broken clouds,-6.4167,20.8,Etas Majore
37,Souillac,MU,71.37,few clouds,-20.5167,57.5167,L'Exil Lodges
39,Hasaki,JP,73.8,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
41,Bathsheba,BB,84.69,few clouds,13.2167,-59.5167,Rest Haven Beach Cottages
46,Loiza,PR,87.87,scattered clouds,18.4313,-65.8802,Malibu Beachfront
47,Castro,BR,72.0,clear sky,-24.7911,-50.0119,Pousada Rota Dos Tropeiros
48,Ponta Do Sol,PT,77.63,clear sky,32.6667,-17.1,Palace of Zinos
51,Atuona,PF,76.53,broken clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
56,Hithadhoo,MV,82.89,overcast clouds,-0.6,73.0833,Pebbles Inn
57,Kamaishi,JP,71.94,scattered clouds,39.2667,141.8833,Rikuchu Coast Grand Hotel
58,Kavieng,PG,81.5,light rain,-2.5744,150.7967,Nusa Island Retreat
59,Jamestown,US,77.29,broken clouds,42.097,-79.2353,Chautauqua Harbor Hotel
