City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,62.456,-114.3525,66.33,100,75,4.0,mist
1,Port Alfred,ZA,-33.5906,26.891,53.04,65,73,7.45,broken clouds
2,Busselton,AU,-33.65,115.3333,49.08,60,91,16.28,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,41.11,75,37,20.69,scattered clouds
4,Albany,US,42.6001,-73.9662,79.14,56,19,7.09,few clouds
5,Kapaa,US,22.0752,-159.319,79.12,81,90,5.01,light rain
6,Hobart,AU,-42.8794,147.3294,46.26,80,53,5.01,broken clouds
7,Bethel,US,41.3712,-73.414,81.16,56,3,1.01,clear sky
8,Barrow,US,71.2906,-156.7887,37.42,87,90,17.27,overcast clouds
9,Saint-Donat-De-Montcalm,CA,46.3187,-74.2219,70.84,40,30,5.06,scattered clouds
10,Puerto Penasco,MX,31.3167,-113.5333,87.91,76,100,11.99,overcast clouds
11,Carnarvon,AU,-24.8667,113.6333,63.45,65,53,17.63,broken clouds
12,Ushuaia,AR,-54.8,-68.3,38.53,77,74,4.65,broken clouds
13,Mataura,NZ,-46.1927,168.8643,42.48,92,87,3.2,overcast clouds
14,Pevek,RU,69.7008,170.3133,42.48,76,96,4.65,light rain
15,Ostrovnoy,RU,68.0531,39.5131,44.65,85,100,18.66,overcast clouds
16,Bredasdorp,ZA,-34.5322,20.0403,50.29,78,1,10.96,clear sky
17,Galesong,ID,-5.3166,119.3661,73.42,75,38,5.86,scattered clouds
18,Plettenberg Bay,ZA,-34.0527,23.3716,51.3,76,16,8.01,few clouds
19,Verkhnetulomskiy,RU,68.6073,31.7962,46.53,69,100,11.45,overcast clouds
20,Hilo,US,19.7297,-155.09,72.25,94,90,5.75,moderate rain
21,Hermanus,ZA,-34.4187,19.2345,52.9,73,0,12.95,clear sky
22,Pudozh,RU,61.8099,36.5345,55.58,48,87,8.63,overcast clouds
23,Guarapuava,BR,-25.3953,-51.4581,72.27,27,0,5.17,clear sky
24,San Andres,CO,12.5847,-81.7006,81.07,82,87,21.79,overcast clouds
25,Rikitea,PF,-23.1203,-134.9692,71.83,75,67,18.19,broken clouds
26,Palmer,US,42.1584,-72.3287,80.78,49,20,1.01,few clouds
27,Puerto Ayora,EC,-0.7393,-90.3518,75.54,77,99,11.99,overcast clouds
28,San Lawrenz,MT,36.0553,14.204,83.61,72,0,5.73,clear sky
29,Klaksvik,FO,62.2266,-6.589,56.32,89,99,17.63,overcast clouds
30,Mar Del Plata,AR,-38.0023,-57.5575,65.88,58,48,7.0,scattered clouds
31,Vaini,TO,-21.2,-175.2,75.49,85,6,6.31,light rain
32,Bluff,NZ,-46.6,168.3333,42.8,85,99,9.93,overcast clouds
33,Sosnogorsk,RU,63.6023,53.8817,54.97,86,95,2.75,overcast clouds
34,New Norfolk,AU,-42.7826,147.0587,44.92,77,42,2.71,scattered clouds
35,Inhambane,MZ,-23.865,35.3833,61.59,67,75,12.35,broken clouds
36,Tshikapa,CD,-6.4167,20.8,84.92,19,73,3.65,broken clouds
37,Souillac,MU,-20.5167,57.5167,71.37,70,13,11.23,few clouds
38,East London,ZA,-33.0153,27.9116,55.08,63,93,8.52,light rain
39,Hasaki,JP,35.7333,140.8333,73.8,85,1,3.29,clear sky
40,Khed Brahma,IN,24.0333,73.05,81.59,79,100,1.72,overcast clouds
41,Bathsheba,BB,13.2167,-59.5167,84.69,70,19,15.7,few clouds
42,Bambous Virieux,MU,-20.3428,57.7575,71.22,67,11,12.19,few clouds
43,Saint-Philippe,RE,-21.3585,55.7679,68.22,73,63,6.6,light rain
44,Port Elizabeth,ZA,-33.918,25.5701,51.1,67,74,6.04,broken clouds
45,Kodinsk,RU,58.6881,99.1844,61.86,67,5,2.48,clear sky
46,Loiza,PR,18.4313,-65.8802,87.87,71,30,15.82,scattered clouds
47,Castro,BR,-24.7911,-50.0119,72.0,34,0,5.17,clear sky
48,Ponta Do Sol,PT,32.6667,-17.1,77.63,63,3,3.96,clear sky
49,Chara,RU,56.9064,118.2631,59.86,88,100,4.79,light rain
